Les Records du Monde;1;Quel est l'homme le plus rapide (100m) ?;Usain Bolt
Les Records du Monde;2;Quelle est la plus haute montagne ?;Everest
Les Records du Monde;3;Quel est l'animal le plus lourd ?;Baleine bleue
Les Records du Monde;4;Quel pays est le plus grand en surface ?;Russie
Les Records du Monde;5;Quel livre est le plus vendu au monde ?;La Bible
Les Records du Monde;6;Qui a vécu le plus longtemps (122 ans) ?;Jeanne Calment
Les Records du Monde;7;Quel est l'endroit le plus profond de l'océan ?;Fosse des Mariannes
Les Records du Monde;8;Quel est l'oiseau le plus rapide en piqué ?;Faucon pèlerin
Les Records du Monde;9;Quelle est la température la plus basse enregistrée ?;-89,2°C
Les Records du Monde;10;Qui détient le record du plus long saut à ski ?;Stefan Kraft
Les Inventions Ratées;11;Quelle boisson était censée soigner les maux de tête ?;Coca-Cola
Les Inventions Ratées;12;Quel réseau social de Google a échoué ?;Google+
Les Inventions Ratées;13;Quel objet volant a disparu après le crash du Hindenburg ?;Le Dirigeable
Les Inventions Ratées;14;Quel format vidéo a perdu contre le VHS ?;Betamax
Les Inventions Ratées;15;Quelle console Nintendo VR fut un bide en 1995 ?;Virtual Boy
Les Inventions Ratées;16;Quel inventeur est mort en sautant de la Tour Eiffel ?;Franz Reichelt
Les Inventions Ratées;17;"Qu'est-ce que le ""Smell-O-Vision"" ?";Système d'odeurs au cinéma
Les Inventions Ratées;18;Quelle voiture Ford est le plus gros bide de l'histoire ?;L'Edsel
Les Inventions Ratées;19;Quel appareil de cuisine lavait les chiens ?;Cuisinart for dogs
Les Inventions Ratées;20;"Quel était le ""parfum au goût de viande"" de Burger King ?";Flame
Les Phobies étranges;21;Peur des araignées ?;Arachnophobie
Les Phobies étranges;22;Peur des espaces clos ?;Claustrophobie
Les Phobies étranges;23;Peur de l'eau ?;Aquaphobie
Les Phobies étranges;24;Peur du vide ?;Acrophobie
Les Phobies étranges;25; Peur des clowns ?;Coulrophobie
Les Phobies étranges;26;Peur de tout ?;Pantophobie
Les Phobies étranges;27;Peur de l'ail ?;Alunophobie
Les Phobies étranges;28;Peur d'être observé par un canard ?;Anatidaephobie
Les Phobies étranges;29;Peur du nombre 666 ?;Hexakosioihexekontahexaphobie
Les Phobies étranges;30;Peur des longs mots ?;Hippopotomonstrosesquippedaliophobie
